,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
0,"We also saw the 1st 2 episodes of Game On: A Comedy Crossover Event with the cast of the G a b r i e l - I g l e s i a s @fluffyguy show &amp; “The Big Show” Paul Wight @WWETheBigShow show - like both shows and both crossovers - tragic about Bert Belasco
@Belasco8 https://t.co/uTlfiAs8V3",0.077, 0.795, 0.128, 0.25, 0.0, 0.0, 0.0, 1.0, 0.0
1,Thanks @netflix for the Game On! A crossover comedy event shows,0.0, 0.552, 0.448, 0.69, 0, 0, 0, 0, 0
2,"#Game On: A Comedy Crossover Event | Official Trailer | Netflix is now trending on https://t.co/Mzcgm9uPYp...
https://t.co/Mzcgm9uPYp",0.0, 0.828, 0.172, 0.3612, 0, 0, 0, 0, 0
3,We need this to happen. Game On A Comedy Crossover Event can be released on DVD soon. Not many shows/movies that’s are Netflix original are released on DVD.they all need to be on DVD for those who don’t have Netflix and can’t afford one.,0.0, 0.895, 0.105, 0.5859, 0.0, 1.0, 0.0, 0.0, 0.0
4,Game On! A Comedy Crossover Event https://t.co/MACSs4fy9j,0.0, 0.642, 0.358, 0.4199, 0, 0, 0, 0, 0
5,"@KaoMiahOFC @kaori_oinuma @JordanLisbo @OFC_Miahmazing @JEREMIAHELITES @KaoMiahTrends @KaoMiahSQUADOFC @JeremiahTrends Game On: A Comedy Crossover Event

WE STAN JEREMIAH LISBO",0.0, 0.762, 0.238, 0.3612, 0, 0, 0, 0, 0
6,Game On: A Comedy Crossover Event on @netflix is so fun! @fluffyguy and all of the others! Perfect lighthearted show!,0.0, 0.479, 0.521, 0.9339, 0.0, 0.0, 0.67, 0.33, 0.0
7,"Answering our questions, #LanceAlexander @Lancetheman27 talks about playing Elvis in #Netflix series #FamilyReunion, taking part in Game On! A Comedy Crossover Event and uploading videos to TikTok! 📷 : Tijuana Vykovic Photographer https://t.co/yogHihLjM5 https://t.co/uGdiDv8Flj",0.0, 0.837, 0.163, 0.5972, 0.0, 0.67, 0.0, 0.0, 0.33
9,‘Game On!’ Episode 1: A Comedy Crossover Event https://t.co/MJkPQsT1yo,0.0, 0.682, 0.318, 0.4199, 0.0, 0.0, 0.0, 1.0, 0.0
10,‘Game On!’ Episode 1: A Comedy Crossover Event https://t.co/K93RdU3cco,0.0, 0.682, 0.318, 0.4199, 0.0, 0.0, 0.0, 1.0, 0.0
14,Marquei como visto Game On: A Comedy Crossover Event - 1x1 - The Big Show Show: The Big Games https://t.co/ukymUKmeA5 #bancodeseries,0.0, 0.865, 0.135, 0.3612, 0, 0, 0, 0, 0
15,"TV Series Of The Day: Game On! A Comedy Crossover Event 

https://t.co/poWTafCuOj 
.
.
#gameon #movie #movietwit #moviesanywhere #TuesdayMotivation #TuesdayThoughts https://t.co/7uRYHWiC0W",0.0, 0.798, 0.202, 0.4199, 0.0, 0.0, 1.0, 0.0, 0.0
16,Game On: A Comedy Crossover Event https://t.co/LAnbo4xbm3,0.0, 0.667, 0.333, 0.3612, 0, 0, 0, 0, 0
17,"Removi ""Game On: A Comedy Crossover Event"" da minha grade https://t.co/sB0TFEB0MA #bancodeseries",0.0, 0.762, 0.238, 0.3612, 0, 0, 0, 0, 0
20,I Watched Game On: A Comedy Crossover Event On Netflix,0.0, 0.737, 0.263, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
21,"Most Popular TV Series on @Netflix_CA This Week: Aug 14th, 2020

1️⃣The Umbrella Academy
2️⃣World's Most Wanted
3️⃣Selling Sunset
4️⃣Good Girls
5️⃣The Seven Deadly Sins
6️⃣Sons of Anarchy
7️⃣Wizards: Tales of Arcadia
8️⃣The 100
9️⃣Sugar Rush
🔟Game On A Comedy Crossover Event",0.067, 0.807, 0.125, 0.3804, 0.0, 0.4, 0.2, 0.2, 0.2
22,"Top 10 TV Series on Netflix US (August 14th)

1. The Umbrella Academy
2. World's Most Wanted
3. The Seven Deadly Sins
4. Shameless
5. (Un)Well
6. Selling Sunset
7. Wizards: Tales of Arcadia
8. The Last Dance
9. The Office
10. Game On A Comedy Crossover Event",0.107, 0.809, 0.085, -0.2732, 0.0, 0.5, 0.0, 0.25, 0.25
23,Entertainment news at 7:50 . Rick Forchuk takes a look at what is new on streaming services this weekend including: Game On: A Comedy Crossover Event on Netflix,0.0, 0.813, 0.187, 0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
24,Entertainment news at 7:50 . Rick Forchuk takes a look at what is new on streaming services this weekend including: Game On: A Comedy Crossover Event on Netflix,0.0, 0.813, 0.187, 0.6486, 0.0, 0.0, 0.0, 0.0, 1.0
25,Game.On.A.Comedy.Crossover.Event.S01.NORDiC.ENG.1080p.WEB.H264-VHS // Asgaard #SweTracker https://t.co/NykkineOQG,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
26,GAME ON: A Comedy Crossover Event (Mr. Iglesias and Family Reunion only) https://t.co/zu6ST3BgyR,0.0, 0.8, 0.2, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
27,"'Game On: A Comedy Crossover Event' Release Date, Cast, Synopsis: Everything You Need to Know https://t.co/WldU4s7QR7 #SmartNews",0.0, 0.839, 0.161, 0.3612, 0.0, 0.0, 0.0, 1.0, 0.0
28,"Top 10 TV Series on Netflix US (August 13th)

1. The Umbrella Academy
2. World's Most Wanted
3. The Seven Deadly Sins
4. Shameless
5. Selling Sunset
6. Wizards: Tales of Arcadia
7. Game On A Comedy Crossover Event
8. The Last Dance
9. (Un)Well
10. The Office",0.107, 0.809, 0.085, -0.2732, 0.0, 0.5, 0.0, 0.25, 0.25
29,What started as excitement amongst citizens of the Federated States of Micronesia is now a petition on the website https://t.co/keyxps8GAT is calling for the removal of an episode of the Netflix web series “Game On: A Comedy Crossover Event.” https://t.co/oiTaeG4Lki,0.0, 0.86, 0.14, 0.6908, 0.0, 0.33, 0.0, 0.67, 0.0
30,".@WWETheBigShow spoke with @Newsweek about #TheBigShowShow, the series epic crossover event, cameo appearances from @WWE Legends and what it is like working with @jaleelwhite. 

Game On: A Comedy Crossover Event is available now on @netflix. 

https://t.co/jxGDI2yfDF",0.0, 0.844, 0.156, 0.6124, 0.0, 1.0, 0.0, 0.0, 0.0
31,"Top 10 TV Series on Netflix US (August 12th)

1. The Umbrella Academy
2. World's Most Wanted
3. The Seven Deadly Sins
4. Shameless
5. Wizards: Tales of Arcadia
6. Selling Sunset
7. Game On! A Comedy Crossover Event
8. The Last Dance
9. The Office
10. The Rain https://t.co/L7mmZ8GCnm",0.105, 0.815, 0.08, -0.3382, 0.0, 0.5, 0.0, 0.25, 0.25
32,"@HowardStern @sternshow  BTW Kissing Booth isn't in top 10
10. The Rain
9. The Office
8. The Last Dance
7. Game On! A Comedy Crossover Event
6. Selling Sunset
5. Wizards
4. Shameless
3. Seven Deadly Sins: Imperial Wrath of the Gods
2. World’s Most Wanted
1. The Umbrella Academy",0.131, 0.757, 0.112, 0.128, 0.0, 0.5, 0.0, 0.17, 0.33
33,Game On: A Comedy Crossover Event - 01x04 - Family Reunion: Remember the Family's Feud https://t.co/MBLwiTQ4NA,0.151, 0.692, 0.157, 0.0258, 0.33, 0.0, 0.0, 0.0, 0.67
34,"Game On: A Comedy Crossover Event @allisonmunn @WWETheBigShow Directed by @MelissaJoanHart  Written by @SmithRebe and @jesspatsox for @netflix 
REALLY? in 2020? You this this is cool to do?

People of the Pacific, lets show them how terrible we aint! Stand up for Micronesia. https://t.co/g4Mt829oNp",0.073, 0.796, 0.132, 0.3678, 0.0, 0.5, 0.17, 0.17, 0.17
35,"All I can say is ""thank you  @netflix"" 
“GAME ON: A Comedy Crossover Event” is a gift😃 

https://t.co/1Dyoe4XSEp",0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
38,"🎥: ""Game On! A Comedy Crossover Event"" - Season 1, Episode 4 😘",0.0, 0.682, 0.318, 0.4199, 0.0, 0.0, 0.0, 1.0, 0.0
40,Marquei como visto Game On: A Comedy Crossover Event - 1x1 - The Big Show Show: The Big Games https://t.co/27rpuV6jMz #bancodeseries,0.0, 0.865, 0.135, 0.3612, 0, 0, 0, 0, 0
42,Putting the fun in family dysfunctional. Game On: A Comedy Crossover Event is streaming NOW on Netflix. @netflixfamily @familyreunionnetflix https://t.co/7g3iR6UORf,0.0, 0.721, 0.279, 0.7003, 0.0, 0.0, 0.33, 0.33, 0.33
43,"Reposted from @paulinafchavez Game On: a Comedy Crossover Event is now steaming on @netflix !! have y’all seen it yet??👀
#ashleygarcia #familyreunion #mriglesias #thebigshowshow  - #regrann https://t.co/KEAQrvupps",0.0, 0.848, 0.152, 0.4329, 1.0, 0.0, 0.0, 0.0, 0.0
44,"Repost @paulinafchavez
Game On: a Comedy Crossover Event is now steaming on @netflix !! have y’all seen it yet??👀
#ashleygarcia #familyreunion #mriglesias #thebigshowshow https://t.co/aPghQ7QJGt",0.0, 0.84, 0.16, 0.4329, 1.0, 0.0, 0.0, 0.0, 0.0
46,"/treze anos de amor/
NOVIDADES NETFLIX:
 Game On! A Comedy Crossover Event",0.0, 0.763, 0.237, 0.4199, 0, 0, 0, 0, 0
47,Big Show stars in Netflix’s “Game On: A Comedy Crossover Event” https://t.co/oV3U0joQsG via @YouTube,0.0, 0.8, 0.2, 0.3612, 0, 0, 0, 0, 0
48,"@WWETheBigShow I’m loving the GAME ON : A Comedy Crossover Event! I’m so grateful to have met you once in Cardiff, Wales!! Your amazing. Thank you 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿❤️",0.0, 0.508, 0.492, 0.9548, 0.0, 0.0, 0.67, 0.0, 0.33
49,@WWETheBigShow watching GAME ON: A Comedy Crossover Event is the best thing ever after meeting THE BIG SHOW! I absolutely love it❤️,0.0, 0.582, 0.418, 0.9097, 0.0, 0.17, 0.17, 0.0, 0.67
50,@IamDRIIVE Game On: A Comedy Crossover Event  Official Trailer  Netflix - https://t.co/3C0xNKrDOr,0.0, 0.762, 0.238, 0.3612, 0, 0, 0, 0, 0
52,Big Show stars in Netflix’s “Game On: A Comedy Crossover Event” https://t.co/IPJRyFKvvP via @YouTube,0.0, 0.8, 0.2, 0.3612, 0, 0, 0, 0, 0
53,"My favorite people in one scene! This episode was such a blast to shoot. Check out Game On: A Comedy Crossover Event out now only on @netflix @ Los Angeles, California https://t.co/8rAUHEMEtY",0.072, 0.753, 0.174, 0.5255, 0.0, 0.0, 0.5, 0.5, 0.0
54,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix: Monday August… https://t.co/OOyYEsY4Sp #fb,0.0, 0.839, 0.161, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
55,"28. Game On: A Comedy Crossover Event 

✿ Season 1 (2020)
✿ Rating: 6/10 https://t.co/EyRgD4ZFv6",0.0, 0.783, 0.217, 0.3612, 0, 0, 0, 0, 0
56,"Game On: A Comedy Crossover Event is available today on @Netflix!

@WWETheBigShow recently spoke with @Keishamaze from @TVGuide about his hit series, #TheBigShowShow, what to expect during the big crossover and much more. 

https://t.co/Bnw6jybjow",0.0, 0.915, 0.085, 0.3612, 0.33, 0.33, 0.33, 0.0, 0.0
58,"TODAY: ""Game On: A Comedy Crossover Event"" (with #MatildaTour alum Lily Brooks O'Briant and #MotownTour alum Cameron ""C.J."" Wright) arrives on Netflix! https://t.co/Ub8yWlF3NC https://t.co/OvwVQHSnw6",0.0, 0.859, 0.141, 0.4199, 0, 0, 0, 0, 0
59,🌟Binge Now @netlix Premiere GAME ON! A COMEDY CROSSOVER EVENT #GameOn w/ @fluffyguy @WWETheBigShow @SherriEShepherd @lodivadevine @TiaMowry @anthonyalabi @PaulinaFChavez @allisonmunn @jencarlosmusic About https://t.co/5jEmjHuD6d https://t.co/ncUdWCTm8n,0.0, 0.782, 0.218, 0.4199, 0, 0, 0, 0, 0
60,[nypost] ‘Game On: A Comedy Crossover Event’ on  #Netflix: Everything You Need to Know https://t.co/ZDfzMbrnJu,0.0, 0.8, 0.2, 0.3612, 0.0, 0.0, 0.0, 1.0, 0.0
61,‘Game On: A Comedy Crossover Event’ on Netflix: Everything You Need to Know #Netflix https://t.co/7RSY46groR,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 1.0, 0.0
62,Game on : A comedy crossover event is now streaming on Netflix 😃👍🙌 #familyreunion #MrIglesias #TheBigShowShow #ashleygarciageniusinlove #netflixfamily https://t.co/g9HV702Z8P,0.0, 0.8, 0.2, 0.3612, 0, 0, 0, 0, 0
63,"10th Aug: GAME ON: A Comedy Crossover Event (2020), 1 Season [TV-G] (6/10) https://t.co/H8cULi2LWH",0.0, 0.762, 0.238, 0.3612, 0, 0, 0, 0, 0
64,"GAME ON: A Comedy Crossover Event (2020) 1 Season [TV-G] Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.... https://t.co/xX77tdsGKz",0.037, 0.621, 0.342, 0.8689, 0.2, 0.0, 0.0, 0.2, 0.6
65,"Titles added today to Netflix:
Game ON: A Comedy Crossover Event — Netflix Original
Nightcrawler https://t.co/VO5Q15cDeR",0.0, 0.714, 0.286, 0.5859, 0.0, 0.5, 0.0, 0.5, 0.0
66,GAME.ON.A.Comedy.Crossover.Event.S01.NORDiC.1080p.WEB.H264-FFS // Asgaard #SweTracker https://t.co/q66ACCSMWq,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
67,"Seen “GAME ON: A Comedy Crossover Event” on Netflix yet?

https://t.co/FCfuzPM9Bp",0.0, 0.762, 0.238, 0.3612, 0, 0, 0, 0, 0
68,Game On: A Comedy Crossover Event is streaming NOW on @NetflixANZ! https://t.co/jri2UQ7nFv,0.0, 0.783, 0.217, 0.3612, 0, 0, 0, 0, 0
69,GAME ON: A Comedy Crossover Event: Season 1 is now on Netflix UK https://t.co/ICA7Cnv6s7,0.0, 0.815, 0.185, 0.3612, 0, 0, 0, 0, 0
70,"GAME ON: A Comedy Crossover Event (2020) 1 Season [U] Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.... https://t.co/NUBUWlUxqd https://t.co/oiweStcEDv",0.036, 0.632, 0.332, 0.8689, 0.2, 0.0, 0.0, 0.2, 0.6
71,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/q7gRrz6kok,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
72,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix - The Washington Post https://t.co/7SQxE54yj9,0.0, 0.848, 0.152, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
73,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/ewt6d6sRKX,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
74,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/8wOZ9sTbAI,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
75,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/vjWAQY49kt,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
76,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/KfYcehAoPR,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
77,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/OilLtrDbUm,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
78,What to watch on Monday: ‘Game On: A Comedy Crossover Event’ on Netflix https://t.co/FgGnVkyhRr,0.0, 0.815, 0.185, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
80,Good news! A NEW episode of #familyreunion is coming to you August 10th! It’s a comedy crossover event! Had so much fun working with such great talent! We are “Putting the fun in family dysfunction. Game on! Streams… https://t.co/ndd4lwK36B,0.054, 0.544, 0.401, 0.9573, 0.0, 0.12, 0.5, 0.12, 0.25
81,"Putting the fun in family dysfunction. Game On: A Comedy Crossover Event streams August 10 on Netflix, featuring @WWETheBigShow! https://t.co/DvU46nrxrg",0.119, 0.636, 0.246, 0.4588, 0.0, 0.0, 0.33, 0.33, 0.33
82,Reposted from @depazmanagement Let’s Play !!! Game On: A Comedy Crossover Event streaming August 10th on #netflix !! Putting the FUN in family dysFUNction😂!!!#jencarloscanela #evalongoria #mariolopez… https://t.co/y6HzLkG33U,0.0, 0.652, 0.348, 0.8433, 0.0, 0.2, 0.2, 0.4, 0.2
83,Reposted from @depazmanagement Let’s Play !!! Game On: A Comedy Crossover Event streaming August 10th on #netflix !! Putting the FUN in family dysFUNction😂!!!#jencarloscanela #evalongoria #mariolopez #gabrieliglesias… https://t.co/kYvNkDkD4H,0.0, 0.652, 0.348, 0.8433, 0.0, 0.2, 0.2, 0.4, 0.2
84,Big Show stars in Netflix’s “Game On: A Comedy Crossover Event” Aug. 10 https://t.co/8zXOzQuVzk via @YouTube,0.0, 0.828, 0.172, 0.3612, 0, 0, 0, 0, 0
85,Game On: A Comedy Crossover Event streams THIS MONDAY on @NetflixANZ! https://t.co/Nn01knd8u0 #WWENZ @WWETheBigShow https://t.co/nhl6S7YVaD,0.0, 0.8, 0.2, 0.3612, 0, 0, 0, 0, 0
86,Putting the fun in family dysfunction. 'Game On: A Comedy Crossover Event' streams THIS MONDAY on @NetflixANZ! https://t.co/jri2UQ7nFv #WWEAustralia https://t.co/QC6GbIimsE,0.13, 0.602, 0.269, 0.4588, 0.0, 0.0, 0.33, 0.33, 0.33
87,"OH, IT'S ON! SEE @WWETheBigShow, @fluffyguy, AND MORE IN ""GAME ON: A COMEDY CROSSOVER EVENT,"" STREAMING AUG. 10 ON @netflix! #THEBIGSHOWSHOW",0.0, 0.821, 0.179, 0.4688, 0, 0, 0, 0, 0
88,"Game On! A Comedy Crossover Event cast: Anthony Alabi, Loretta Devine, Gabriel Iglesias. Game On! A Comedy Crossover Event Release Date: 10 August 2020 (USA). Game On! A Comedy Crossover Event Episodes: 4.  looking full of Comedy, Family.
https://t.co/1IWqppHyjz",0.0, 0.74, 0.26, 0.8713, 0.0, 0.0, 0.0, 0.5, 0.5
89,"Because nothing makes you feel like a kid, more than standing next to a ProWrestler. It's what my grandma always used to say, and she was right.  Don't forget to watch!!!!! Game On: A Comedy Crossover Event streams August 10 on Netflix @MrIglesiasWR @fluffyguy @contodonetflix https://t.co/pSePB54fLg",0.0, 0.825, 0.175, 0.7804, 0.12, 0.25, 0.12, 0.25, 0.25
90,"Because nothing makes you feel like a kid, more than standing next to a ProWrestler. It's what my grandma always used to say, and she was right.  Don't forget to watch!!!!! Game On: A Comedy Crossover Event streams August 10 on Netflix @MrIglesiasWR @fluffyguy @contodonetflix",0.0, 0.821, 0.179, 0.7804, 0.12, 0.25, 0.12, 0.25, 0.25
