Country of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Thailand,5065.6,4950.9,6250.8,6983.3,7550.9,8498.7,11138.8,14197.2,14763.2,13831.6,15816.9,16276.3,18517.7,17728,20008.4,22676.2,21818,22411.5,25099.9
Singapore,57907.5,95645.5,39046.6,22072.8,18390.9,19269.9,20762.6,12593.9,15886.7,11406.8,13424.4,16847.6,18141.2,21530.3,22057.6,24035.2,24715.1,24034.2,21679.5
Philippines,4960,5667,4508.8,4320.5,4780.3,5026.4,6791.9,7318.4,7295.2,8850.3,12533.7,12348.4,12998,15997.4,16782.5,18094,20511.2,22356.6,26682.9
Malaysia,4592.5,5559.9,7049.5,8360.2,10509.7,11248.4,13553.6,14629.4,16074.7,20482.7,25401.7,26415.7,26011.2,26716,24346.4,24873.7,24955.6,29531.6,30357.4
Myanmar,109.6,186.5,136.7,85.8,95.6,132.8,271.1,364.5,245.2,244,336.3,252.6,381.8,644.6,751.6,784.7,964.5,1132.2,1268.7
Cambodia,84.7,122.1,110.5,188.2,74,52.2,60.1,108.7,110.8,122.3,193.9,258.4,253.1,383.8,728.4,1634.8,1579.1,2466.7,2318.5
Brunei Darussalam,34.6,54.5,51.7,98.5,95.7,24.3,151.8,204,194.6,232.9,63.8,66.8,50,53.6,104.1,48.5,65.8,104.8,125.3
Lao People's Dem.Rep,0.2,0.4,0.4,0.2,0.8,0.9,0.8,1.1,0.9,1,1.4,1.7,35.1,1.2,0.9,1.5,1,0.8,1.3
Vietnam,1198.9,860.4,953.4,1030,938,1162.8,1759.4,2145.5,2291.2,2410,2611.5,3014,2763.8,3648.4,3253.5,4248.2,5630.9,9358,15051.9
Japan,52078.3,53200.1,53317.3,57674.5,57646.4,59523.6,67389.7,66094,66662.4,55907.4,61311.2,62628.4,56240.4,57892.4,50964.5,47673.3,47504.9,45634.2,41575.5
Hongkong,4353.1,6027.6,5273.8,7601.6,8262.1,10045.6,11552.1,11742.9,11060.7,11345.5,10209,12273.4,12713,13863.1,12792.1,10040.9,9616.8,8676,9217.9
"Korea, Republic of",0,0,23855.4,22612.1,25275,29118.9,33678.4,37894.5,36134.9,43149.8,57383.6,56139.9,52859.8,47566.6,46364.3,43510.5,46507.5,50244.4,48223.1
Taiwan,0,0,19639.2,21788.5,24074.9,21641.5,29678.3,27153.6,26940.3,27072,29045.3,31412.3,32924.7,32126.3,31874.8,28796.4,24757.5,22843.7,21898.3
China,0,0,11544.7,11483.7,12631.9,18629.8,31246.4,53392,59468.1,81745.4,137643.7,209264.2,214891.2,284601.8,125331.8,94148.6,130333.6,143938.1,182019.4
Others,61016.1,61497.4,0,0,20432.9,28816.5,37093.2,40864.7,43909.4,56797.8,67794.6,90850.2,112341.4,136470.5,154941.1,147736,116935.9,125789.9,141880.8
Africa,3493.4,4814.4,0,0,3653.2,2839.8,5259.6,5694.6,4296.7,3908.4,3828.1,3949.1,3787.6,4792.5,5670.7,5654.4,4516.9,5640.1,6042.9
Australia,4099.1,6697.9,6365.4,4993.9,4724.4,4852.1,4500.7,4496.4,4680.8,4608.6,5264.2,5764.8,4622.7,4593.4,3558.8,3553.2,3599.1,3009.8,3653.5
New Zealand,0,0,0,0,999.5,1392,1899.7,1269.9,1507.1,1547.6,1356.9,1138.2,1022.1,1612.9,1589.1,1848.8,1441.4,1888.8,1955.2
Rest of Oceania,294.4,604,0,0,138.6,137,565,88.4,302.7,337.8,341.4,474.6,368.5,538.8,390.5,470.7,491.3,518.6,463.5
United States,6606.3,6523.1,6542.8,6832.8,7371,7156.3,8362.3,8550.5,8125.4,5674.2,6413.1,4879.5,3783.4,5684.7,6288.1,7059.1,6563,6758.1,6950.1
Canada,237.5,244.8,246.8,244.6,245.4,278.3,349.2,226.9,212.3,204.3,228.9,235.8,207.7,214.7,200.6,210.2,221.7,255.8,327.4
Mexico,0,0,161.1,134.6,136.9,105,113.1,114.4,258.6,194.8,1700.6,500.2,589.8,741.5,424.8,447.9,471,565.1,394.6
Rest of America,2282.7,2512.8,1219.4,897,1799.6,2183.7,3159.9,2773.8,1563.4,1732.4,2267.3,1881.8,1472,1479.2,1533.6,1426.4,1264.8,1253.6,1403.2
United Kingdom,581.5,717.9,648.5,983.1,1534.8,1775.3,2668.4,2014.5,2414.3,1300.6,590.6,517,384,453.5,430.6,486,546,518.1,610.5
Netherlands,5528.5,5305.4,4840.6,3983.7,3987,5739.7,9329.1,4394.2,7482.4,7054.3,6039.3,6788.9,4828.2,4480.4,4043.6,4467.2,3627,4552.5,5059.6
France,272.1,438.5,608.6,725,718.5,719.9,770.1,353,242.7,212.4,267.8,222.6,210,205.3,253.7,233.2,245.5,305,263.9
Germany,1107.8,1066.3,1032.8,1393.6,1550,1292.1,1442.9,1294.7,1196.7,1120.3,1037.3,866.8,823.7,890.9,719.8,774.4,744.6,735.5,660.7
Belgium,470.1,729.7,750,576.1,469,407.8,580.7,820.6,633.1,377.4,316.7,303.1,316.9,342.5,303.5,294.4,353.8,305.2,362.1
Denmark,49.2,48.5,350.2,77,77.4,99.6,691.1,59,75.4,120,89.5,108.9,89,93.3,92.5,95.1,81.6,102.8,238.8
Sweden,68.2,89.8,89,52.4,62.7,45.8,107.1,31.6,79.6,71.6,38.6,35.7,38.7,26.3,38.6,43,34.6,40.6,54.9
Finland,96.8,198.6,231.3,217.3,84.2,66.5,23.7,24.9,158.6,19.1,34.5,80.5,85.2,42.4,37.1,29.2,32.6,33.7,30.7
Italy,2599.1,2275.5,3906.8,5731,6072.5,7057.9,8438,6961.8,6682.4,7190.5,7833.4,6875.5,5477,4550.3,5231.5,4684.5,2516.5,2524.1,2346.7
Spain,4251.8,3408.7,4108.3,4110.8,3560.8,4213.2,5459.7,5220.6,5558.1,5915.8,2781.4,4795.9,6837.5,5462.1,5631.3,6237.4,6540.3,5705.5,7047.4
Greece,179.6,177.6,289.8,357.2,132.9,247.8,467.8,702.7,480.9,560.9,365.6,663.3,705.2,543.4,143.4,104.7,125.3,141.7,218.2
Poland,0,0,90.4,77.2,75.2,77.9,80,85.9,87.1,66.7,727.3,561.8,212.8,288.9,391.9,253.3,143.7,99.9,159.5
Portugal,98.5,649.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,7.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,341.7,619.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest of European Union,753.4,1029.1,1515.1,812.1,898.7,1672.3,3012.2,2074.9,2091.6,1075.8,721,717.6,590.6,761,799,614.6,790,868.2,1367.7
Rest of Europe,282.6,528.9,18534.4,23067.6,3266.2,3179.1,4763.8,6815.9,5885.8,2106.1,2832.3,2808.3,2561.611101,2983.1,1390.7,1537,1480.2,1501.2,1896
